Sequence_ID	Organism	Fwd_primer_name	Rev_primer_name	Specimen_voucher	Country	Note	Lat_Lon	Collection_date	Collected_by			
FISHCARD_elas_01.1	Galeocerdo cuvier	MiFish Elasmobranch	MiFish Elasmobranch	#12-39	Mexico	Todos Santos Commercial Beach	"23.41N,110.23W"	4-Apr-2012	commercial fishers (via J Snow)			
FISHCARD_elas_02.1	Galeorhinus galeus	MiFish Elasmobranch	MiFish Elasmobranch	#10-76	USA	"San Diego Co.: La Jolla, N of SIO Pier"	"32.8667N,117.25W"	29-May-2010	J Deyling [local fisher]			
FISHCARD_elas_03.1	Heterodontus francisci	MiFish Elasmobranch	MiFish Elasmobranch	#07-84	Mexico	Todos Santos Commercial Beach	"23.3833N,110.2W"	10-May-2007	J Snow			
FISHCARD_elas_04.1	Isurus oxyrinchus	MiFish Elasmobranch	MiFish Elasmobranch	#12-27	Mexico	Punta Palmilla	"22.99N,109.43W"	20-Dec-2011	J Snow			
FISHCARD_elas_05.1	Rhizoprionodon longurio	MiFish Elasmobranch	MiFish Elasmobranch	#13-250	Mexico	Todas Santos Commercial Beach	"23.41N,110.23W"	7-Jun-2013	commercial fishermen (via J Snow)			
FISHCARD_elas_06.1	Sphyrna zygaena	MiFish Elasmobranch	MiFish Elasmobranch	#09-293	Mexico	Todos Santos Commercial Beach	"23.3833N,110.2W"	2-Jun-2009	J Snow			
FISHCARD_elas_07.1	Mobula mobular	MiFish Elasmobranch	MiFish Elasmobranch	#16-76	Sri Lanka	NULL		30-May-2012	D Fernando			
FISHCARD_elas_08.1	Pteroplatytrygon violacea	MiFish Elasmobranch	MiFish Elasmobranch	#12-94	Mexico	Todos Santos Commercial Beach	"23.41N,110.23W"	22-Aug-2012	commercial fishers (via J Snow)			
FISHCARD_elas_10.1	Mobula thurstoni	MiFish Elasmobranch	MiFish Elasmobranch	#16-75	Sri Lanka	NULL		28-May-2012	D Fernando			
FISHCARD_elas_11.1	Pseudobatos productus	MiFish Elasmobranch	MiFish Elasmobranch	#03-160	USA	San Diego Co.: La Jolla	"32.85N,117.2667W"	22-Aug-2002	"M Craig & J Fodrie, SIO grad. students"			
FISHCARD_elas_12.1	Gymnura marmorata	MiFish Elasmobranch	MiFish Elasmobranch	#01-180	USA	"San Diego Co.: La Jolla, off Black’s Beach"	"32.8667N,117.25W"	5-Oct-2001	"M Craig & J Fodrie, SIO grad. students"			
FISHCARD_elas_13.1	Euprotomicrus bispinatus	MiFish Elasmobranch	MiFish Elasmobranch	#98-173	NULL	NULL	"29.25N,144.7167W"	28-May-1997	"R Pitman, NMFS-La Jolla"			
FISHCARD_elas_14.1	Alopias superciliosus	MiFish Elasmobranch	MiFish Elasmobranch	#04-32	USA	"ca 70 mi offshore, near U.S./Mexico border"	"32.5833N,118.3333W"	2-Mar-2004	"local fisherman, via C. Sepulveda, SIO"			
FISHCARD_elas_15.1	Carcharhinus longimanus	MiFish Elasmobranch	MiFish Elasmobranch	#97-223	NULL	NULL	"7.7333N,141.7833W"	13-Sep-1997	"M Hinton, IATTC"			
FISHCARD_elas_16.1	Prionace glauca	MiFish Elasmobranch	MiFish Elasmobranch	#96-101	USA	Tanner Bank	"32.6917N,119.1167W"	8-Aug-1995	WL Smith			
FISHCARD_elas_17.1	Hydrolagus colliei	MiFish Elasmobranch	MiFish Elasmobranch	#95-2	USA	San Diego Co.: off Point Loma	"32.7367N,117.4033W"	4-Mar-1995	"R Rosenblatt & party, SIO"			
FISHCARD_elas_18.1	Euprotomicrus bispinatus	MiFish Elasmobranch	MiFish Elasmobranch	#98-173	NULL	NULL	"29.25N,144.7167W"	28-May-1997	"R Pitman, NMFS-La Jolla"			
FISHCARD_elas_19.1	Somniosus pacificus	MiFish Elasmobranch	MiFish Elasmobranch	#95-13	USA	Loran: 28208.2/40726.6		7-Dec-1991	"R Hupp, Sea World"			
FISHCARD_elas_20.1	Hypanus dipterurus	MiFish Elasmobranch	MiFish Elasmobranch	#01-178	USA	San Diego Co.: Mission Bay: NW of Fiesta Island	"32.7833N,117.25W"	27-Sep-2001	"M Craig & Joel Fodrie, SIO graduate students"			
FISHCARD_elas_21.1	Carcharodon carcharias	MiFish Elasmobranch	MiFish Elasmobranch	#04-43	USA	off Newport Beach; 6 mi	"33.53N,117.9367W"	10-Sep-2003	"local fisherman (via C Lowe, CSULB)"			
FISHCARD_elas_22.1	Gymnura marmorata	MiFish Elasmobranch	MiFish Elasmobranch	#01-180	USA	"San Diego Co.: La Jolla, off Black’s Beach"	"32.8667N,117.25W"	5-Oct-2001	"M Craig & J Fodrie, SIO grad. students"			
FISHCARD_elas_23.1	Hexanchus griseus	MiFish Elasmobranch	MiFish Elasmobranch	#01-187	USA	"Santa Barbara Channel, off El Capitan State Beach"	"34.3833N,119.7W"	14-Aug-2001	"gift:  RN Lea, Calif. Fish & Game"			
FISHCARD_elas_24.1	Himantolophus sagamius	MiFish Elasmobranch	MiFish Elasmobranch	#02-2	USA	San Diego Co.: Del Mar (at “Dog Beach”); in surf zone	"32.9583N,117.265W"	15-Dec-2001	M Grundler			
FISHCARD_elas_25.1	Bathyraja trachura	MiFish Elasmobranch	MiFish Elasmobranch	#01-109	USA	off Monterey Bay	"36.75N,121.9167W"	18-Apr-2001	"received from RN Lea, Calif. Fish & Game"			
FISHCARD_elas_26.1	Platyrhinoidis triseriata	MiFish Elasmobranch	MiFish Elasmobranch	#03-161	USA	"San Diego Co.: La Jolla, Scripps Reserve"	"32.85N,117.2667W"	19-Nov-2002	"M Craig & J Fodrie, SIO grad. students"			
FISHCARD_elas_27.1	Pseudobatos productus	MiFish Elasmobranch	MiFish Elasmobranch	#03-160	USA	San Diego Co.: La Jolla	"32.85N,117.2667W"	22-Aug-2002	"M Craig & J Fodrie, SIO grad. students"			
FISHCARD_elas_28.1	Parmaturus xaniurus	MiFish Elasmobranch	MiFish Elasmobranch	#97-131	USA	off Yankee Point	"36.5117N,122.0083W"	6-Mar-1997	J Field			
